Product Title,URL,Description,Details,Image URLs
Deep Green Polyester Air Flow CEY Crepe Solid Woven Fabric,https://fabricdepot.com/products/deep-green-polyester-air-flow-cey-crepe-solid-woven-fabric-aps9283,"-100% polyester air flow CEY crepe solid plain woven fabric
-Fiber Content: 100% Polyester
-Width: 58
-Weight: Light
-Transparency: Semi-Sheer
-Hand: Soft
-Stretch: Mechanical Stretch
-Drape: Very Good Drape
-Luster: Matte
-End Uses: Apparel,Blouses,Dresses,Overlays,Shirts
-Compare to $13.00/yd","{'Marketing Description': 'Compare to $13.00/yd', 'Fiber Content': '100% Polyester', 'Width': '58', 'Weight': 'Light', 'Transparency': 'Semi-Sheer', 'Hand': 'Soft', 'Stretch': 'Mechanical Stretch', 'Drape': 'Very Good Drape', 'Luster': 'Matte', 'End Uses': 'Apparel,Blouses,Dresses,Overlays,Shirts'}",{}
Light Blue Polyester Air Flow CEY Crepe Solid Woven Fabric,https://fabricdepot.com/products/light-blue-polyester-air-flow-cey-crepe-solid-woven-fabric-aps9282,"-100% polyester air flow CEY crepe solid plain woven fabric
-Fiber Content: 100% Polyester
-Width: 58
-Weight: Light
-Transparency: Semi-Sheer
-Hand: Soft
-Stretch: Mechanical Stretch
-Drape: Very Good Drape
-Luster: Matte
-End Uses: Apparel,Blouses,Dresses,Overlays,Shirts
-Compare to $13.00/yd","{'Marketing Description': 'Compare to $13.00/yd', 'Fiber Content': '100% Polyester', 'Width': '58', 'Weight': 'Light', 'Transparency': 'Semi-Sheer', 'Hand': 'Soft', 'Stretch': 'Mechanical Stretch', 'Drape': 'Very Good Drape', 'Luster': 'Matte', 'End Uses': 'Apparel,Blouses,Dresses,Overlays,Shirts'}",{}
